simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_14,cell_17,cell_18,cell_3,cell_6,cell_8	mut2	0	8.934336806759786149642871641E-8	0E+35	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_14,cell_17,cell_19,cell_4,cell_6,cell_7,cell_8	mut3	0	3.675045119641944049644250288E-8	0E+35	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_14,cell_18,cell_19,cell_4,cell_9	mut0	0	7.184913378230041998154216836E-14	0E+41	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_15,cell_3	mut10	0	104.6668996426551216541534964	0E+25	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_16	mut1	0	2.590093846302139373276968867E-9	0E+36	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_13,cell_14,cell_15,cell_18,cell_19,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8	mut0	0	3.675045119641943873873414669E-8	0E+35	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_13,cell_14,cell_18,cell_5	mut2	0	3.032906320153281020633684931E-13	0E+40	
simNo_4-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_13,cell_15,cell_17,cell_19,cell_2,cell_3,cell_4,cell_5,cell_9	mut2	0	7.270588066334714879586088363E-16	0E+43	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.50-d_0-l_1000000	cell_0,cell_12,cell_13,cell_15,cell_18,cell_2,cell_4	mut3	0	0.01792158607155388017263231856	0E+29	
simNo_7-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_12,cell_13,cell_15,cell_19,cell_2	mut3	0	3.973461930190952742743004486E-8	0E+35	
